baseline_id,lst_stratum,lst_bin_id,morphology,flux_jy,multiplicity,PTE_global_absint__frozen_polybeam,PTE_global_absint__full_polybeam,PTE_global_max__frozen_polybeam,PTE_global_max__full_polybeam,Z_PS_max__frozen_polybeam,Z_PS_max__full_polybeam,relative_abs_bias__frozen_polybeam,relative_abs_bias__full_polybeam,candidate_statistical__frozen_polybeam,candidate_statistical__full_polybeam,absint_strict__frozen_polybeam,absint_strict__full_polybeam,local_physical_1e3__frozen_polybeam,local_physical_1e3__full_polybeam,absint_physical_1e3__frozen_polybeam,absint_physical_1e3__full_polybeam,beam_robust_local_physical_1e3,frozen_only_local_physical_1e3,full_only_local_physical_1e3,beam_robust_absint_physical_1e3,frozen_only_absint_physical_1e3,full_only_absint_physical_1e3,delta_PTE_global_max,delta_PTE_global_absint,delta_relative_abs_bias
82_0,quiet,17,lines,10.0,multi,0.99009900990099,0.2574257425742574,1.0,1.0,-1.972973088927911,-3.154074932944768,3.993275506409724e-05,0.0001073960207253,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,-0.7326732673267327,6.746326566120275e-05
82_0,quiet,17,lines,10.0,single,0.2772277227722772,0.198019801980198,0.6435643564356436,0.8514851485148515,-0.4786359190346999,-0.99502081525035,1.6919954126227938e-05,1.868622325096741e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.20792079207920788,-0.0792079207920792,1.7662691247394714e-06
82_0,quiet,17,lines,30.0,multi,0.9504950495049505,0.2376237623762376,0.99009900990099,1.0,-2.203925355147608,-2.2786106845137386,0.0001198355210648,0.00032225022475,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00990099009901002,-0.7128712871287128,0.00020241470368520003
82_0,quiet,17,lines,30.0,single,0.3663366336633663,0.2079207920792079,0.7029702970297029,0.8118811881188119,-0.507586589237146,-0.9005394431248053,5.076443775118214e-05,5.605347949478851e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.10891089108910901,-0.15841584158415836,5.2890417436063706e-06
82_0,quiet,17,lines,300.0,multi,0.9603960396039604,0.2574257425742574,0.9801980198019802,1.0,-2.023230105817172,-2.995867150844973,0.0012036554156153,0.0032311293052345,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.01980198019801982,-0.7029702970297029,0.0020274738896192
82_0,quiet,17,lines,300.0,single,0.2772277227722772,0.2871287128712871,0.6831683168316832,0.801980198019802,-0.5072315107932712,-0.7439981889952415,0.0005091102448459,0.0005599848458482,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.1188118811881188,0.00990099009900991,5.0874601002300025e-05
82_0,quiet,17,lines,1000.0,multi,0.9702970297029704,0.2673267326732673,0.99009900990099,1.0,-2.1206637620359,-3.446395760752176,0.0040712103428503,0.0108623546772157,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00990099009901002,-0.7029702970297032,0.0067911443343654
82_0,quiet,17,lines,1000.0,single,0.3168316831683168,0.2376237623762376,0.7623762376237624,0.7920792079207921,-0.595768434275842,-0.7937588443778686,0.0017291877186961,0.0018713380364398,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02970297029702973,-0.07920792079207917,0.00014215031774370002
82_0,quiet,17,smooth,10.0,multi,0.9702970297029704,0.2574257425742574,0.9801980198019802,1.0,-1.794129851624241,-3.268498658591682,3.97870583017344e-05,0.0001074965420333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.01980198019801982,-0.7128712871287131,6.77094837315656e-05
82_0,quiet,17,smooth,10.0,single,0.396039603960396,0.2277227722772277,0.7524752475247525,0.7623762376237624,-0.5431929408791043,-0.6153280417262723,1.6929295153870525e-05,1.8693142727703238e-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00990099009900991,-0.1683168316831683,1.7638475738327126e-06
