case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,cal_seed,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,white,0.01,,9,0.003996003996003996,0.03488260952102054,0.5754245754245755,0.002997002997002997,0.030343303636724585,0.4945054945054945,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,white,0.01,,10,0.002997002997002997,0.03483703240130072,0.5774225774225774,0.002997002997002997,0.030299492295277987,0.4925074925074925,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,1,0.003996003996003996,0.034853062425633595,0.5814185814185814,0.004995004995004995,0.030327524633863786,0.4945054945054945,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,2,0.003996003996003996,0.03479491102787634,0.5794205794205795,0.004995004995004995,0.03028961576233306,0.4945054945054945,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,3,0.001998001998001998,0.03487018427537846,0.5794205794205795,0.000999000999000999,0.030361170370633617,0.4955044955044955,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,4,0.002997002997002997,0.0349383013025913,0.5824175824175825,0.001998001998001998,0.030399857191752085,0.4965034965034965,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,5,0.002997002997002997,0.03487485600747569,0.5804195804195804,0.002997002997002997,0.03033799308320322,0.5024975024975025,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,6,0.004995004995004995,0.03486776339500948,0.5724275724275725,0.005994005994005994,0.030344468243063947,0.5004995004995005,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,7,0.000999000999000999,0.03490672102506253,0.5774225774225774,0.001998001998001998,0.030361671714006166,0.4955044955044955,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,8,0.001998001998001998,0.034886271391414085,0.5794205794205795,0.000999000999000999,0.030341951150720466,0.5024975024975025,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,9,0.003996003996003996,0.034862289679041474,0.5784215784215784,0.003996003996003996,0.030326385308025203,0.4975024975024975,window-integrated candidate
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.01,1.0,10,0.001998001998001998,0.03476267462252294,0.5734265734265734,0.000999000999000999,0.03024024349267465,0.4905094905094905,window-integrated candidate
