case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,doppler_mode,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class,primary_seed,paired_seed,seed
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.0,0.5,linear,0.001998001998001998,0.031261326576950396,0.5164835164835165,0.006993006993006993,0.03981525633746512,0.4985014985014985,window-integrated candidate,20261091,20261295,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.0,1.0,linear,0.001998001998001998,0.031261326576950396,0.5164835164835165,0.006993006993006993,0.03981525633746512,0.4985014985014985,window-integrated candidate,20261091,20261295,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.0,5.0,linear,0.001998001998001998,0.031261326576950396,0.5164835164835165,0.006993006993006993,0.03981525633746512,0.4985014985014985,window-integrated candidate,20261091,20261295,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.0001,0.5,linear,0.001998001998001998,0.031260445590558995,0.5164835164835165,0.006993006993006993,0.03981401048631964,0.4985014985014985,window-integrated candidate,20261091,20261295,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.0001,1.0,linear,0.001998001998001998,0.03126219378382655,0.5164835164835165,0.006993006993006993,0.03981631238019439,0.4985014985014985,window-integrated candidate,20261091,20261295,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.0001,5.0,linear,0.001998001998001998,0.03126049019988235,0.5164835164835165,0.006993006993006993,0.03981407943970561,0.4985014985014985,window-integrated candidate,20261091,20261295,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.001,0.5,linear,0.001998001998001998,0.03127438185278259,0.5164835164835165,0.006993006993006993,0.039832128042884704,0.4985014985014985,window-integrated candidate,20261091,20261295,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.001,1.0,linear,0.001998001998001998,0.03126711201161119,0.5164835164835165,0.006993006993006993,0.0398235588370899,0.4985014985014985,window-integrated candidate,20261091,20261295,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.001,5.0,linear,0.001998001998001998,0.03125637478503455,0.5164835164835165,0.006993006993006993,0.03980999946169282,0.4985014985014985,window-integrated candidate,20261091,20261295,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.01,0.5,linear,0.001998001998001998,0.03127046138312142,0.5164835164835165,0.006993006993006993,0.039840371991693525,0.5014985014985015,window-integrated candidate,20261091,20261295,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.01,1.0,linear,0.001998001998001998,0.031339044233433797,0.5154845154845155,0.006993006993006993,0.039897385825579834,0.5004995004995005,window-integrated candidate,20261091,20261295,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,smooth,1000.0,single,smooth,0.01,5.0,linear,0.001998001998001998,0.03131037915804269,0.5154845154845155,0.006993006993006993,0.03986929923157595,0.4965034965034965,window-integrated candidate,20261091,20261295,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,white,0.0,,linear,0.002997002997002997,0.03487705799495972,0.5774225774225774,0.002997002997002997,0.030348640069162144,0.4935064935064935,window-integrated candidate,20261431,20261227,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,white,0.0001,,linear,0.002997002997002997,0.0348773158725678,0.5774225774225774,0.002997002997002997,0.03034889809129771,0.4935064935064935,window-integrated candidate,20261431,20261227,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,white,0.001,,linear,0.002997002997002997,0.03487362679066631,0.5774225774225774,0.002997002997002997,0.030345508254110126,0.4935064935064935,window-integrated candidate,20261431,20261227,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,white,0.01,,linear,0.002997002997002997,0.03488298787728823,0.5794205794205795,0.002997002997002997,0.030364269058252288,0.4935064935064935,window-integrated candidate,20261431,20261227,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.0,0.5,linear,0.002997002997002997,0.03487705799495972,0.5774225774225774,0.002997002997002997,0.030348640069162144,0.4935064935064935,window-integrated candidate,20261431,20261227,10
5,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,1000.0,single,smooth,0.0,1.0,linear,0.002997002997002997,0.03487705799495972,0.5774225774225774,0.002997002997002997,0.030348640069162144,0.4935064935064935,window-integrated candidate,20261431,20261227,10
