baseline_id,lst_stratum,lst_bin_id,morphology,flux_jy,multiplicity,candidate_statistical__frozen_polybeam,candidate_statistical__full_polybeam,PTE_global_absint__frozen_polybeam,PTE_global_absint__full_polybeam,PTE_global_max__frozen_polybeam,PTE_global_max__full_polybeam,Z_PS_max__frozen_polybeam,Z_PS_max__full_polybeam,relative_abs_bias__frozen_polybeam,relative_abs_bias__full_polybeam,delta_Z_PS_max,delta_PTE_global_absint,delta_PTE_global_max,delta_relative_abs_bias,frozen_only_candidate,full_only_candidate
0_197,typical,36,smooth,30.0,single,False,False,0.2871287128712871,0.4356435643564356,0.7722772277227723,0.7425742574257426,-0.6441801684821995,-0.5640458744697326,0.0001897295120841,0.0001938566430152,0.08013429401246686,0.14851485148514848,-0.02970297029702973,4.127130931099983e-06,False,False
0_197,typical,36,smooth,1000.0,multi,False,False,0.0495049504950495,0.0495049504950495,0.4752475247524752,0.4158415841584158,0.045479345054774,0.2406811439248537,0.0346390017014976,0.0423074912280345,0.1952017988700797,0.0,-0.0594059405940594,0.007668489526536898,False,False
0_197,typical,36,smooth,1000.0,single,False,False,0.1782178217821782,0.2178217821782178,0.7326732673267327,0.8415841584158416,-0.5497840839456936,-0.5985028103020537,0.0065695851263298,0.0066397699951497,-0.0487187263563601,0.039603960396039584,0.1089108910891089,7.018486881989975e-05,False,False
11_10,quiet,16,khz_comb,30.0,multi,False,False,0.0396039603960396,0.0495049504950495,0.495049504950495,0.3069306930693069,0.0621096711977896,0.6021840535926289,0.0003708319308801,0.0005011280808319,0.5400743823948393,0.009900990099009903,-0.18811881188118806,0.00013029614995179996,False,False
11_10,quiet,16,khz_comb,30.0,single,False,False,0.3861386138613861,0.8316831683168316,0.4554455445544554,0.3564356435643564,0.0689306517421794,0.3282813737788434,0.0002214123229472,0.0002697935957621,0.25935072203666404,0.44554455445544555,-0.09900990099009899,4.838127281490002e-05,False,False
11_10,quiet,16,khz_comb,1000.0,multi,False,False,0.0594059405940594,0.0396039603960396,0.594059405940594,0.3267326732673267,-0.2326433531923113,0.6568986543065748,0.0123467035413182,0.0170440122326741,0.8895420074988861,-0.019801980198019806,-0.26732673267326734,0.0046973086913559,False,False
11_10,quiet,16,khz_comb,1000.0,single,False,False,0.7524752475247525,0.8415841584158416,0.504950495049505,0.4356435643564356,0.0066762247628638,0.1495594845936761,0.007308349433328,0.0088890959263376,0.1428832598308123,0.08910891089108908,-0.06930693069306937,0.0015807464930096002,False,False
11_10,quiet,16,lines,30.0,multi,False,False,0.0693069306930693,0.099009900990099,0.4851485148514851,0.3168316831683168,0.1084545345887758,0.7044502304180601,0.0003973627461082,0.0005786334939199,0.5959956958292842,0.0297029702970297,-0.1683168316831683,0.00018127074781170002,False,False
11_10,quiet,16,lines,30.0,single,False,False,0.3267326732673267,0.8514851485148515,0.2871287128712871,0.0495049504950495,0.2238149383212124,1.2468314745757725,0.000240818925171,0.0003100091338267,1.02301653625456,0.5247524752475248,-0.2376237623762376,6.919020865570004e-05,False,False
11_10,quiet,16,lines,1000.0,multi,False,False,0.0594059405940594,0.0693069306930693,0.4059405940594059,0.3663366336633663,0.220120769553671,0.4891002491696186,0.0132230633909156,0.0198443671997315,0.2689794796159476,0.009900990099009896,-0.03960396039603964,0.0066213038088159,False,False
11_10,quiet,16,lines,1000.0,single,False,False,0.7920792079207921,0.9405940594059404,0.3564356435643564,0.1386138613861386,0.4114615731558052,0.6402056791345465,0.0079337589376759,0.0101967818373136,0.22874410597874129,0.1485148514851483,-0.21782178217821782,0.002263022899637701,False,False
11_10,quiet,16,smooth,30.0,multi,False,False,0.0594059405940594,0.1089108910891089,0.3465346534653465,0.3465346534653465,0.3360168558056261,0.3080390764040103,0.0003967978946554,0.0005782143514808,-0.027977779401615832,0.04950495049504949,0.0,0.00018141645682540004,False,False
11_10,quiet,16,smooth,30.0,single,False,False,0.3663366336633663,0.9108910891089108,0.396039603960396,0.0693069306930693,0.2894716879598598,0.7100008855902867,0.0002406843314332,0.0003100350512398,0.42052919763042695,0.5445544554455446,-0.3267326732673267,6.935071980660002e-05,False,False
