morphology,injection_mode,bg_id,baseline_group,S_ref_jy,tau_ns,kpar,kperp,bias,null_median_bias,Z_PS
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,199.50076103500763,0.07274537772314991,0.00494381046924773,0.2240012843230943,0.018664627630471387,0.6830157368936274
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,211.9695585996956,0.07729196383084677,0.00494381046924773,0.2700073242840517,-0.016004403888018714,0.570575635863573
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,224.43835616438355,0.08183854993854363,0.00494381046924773,-0.13856575839781726,-0.0021923478561802767,-0.5640408019894495
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,236.90715372907155,0.08638513604624051,0.00494381046924773,-0.16799338031705702,0.01035498890269082,-0.6637077108017915
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,249.3759512937595,0.09093172215393737,0.00494381046924773,-0.05276905424329925,0.00028445324380754755,-0.924822993234493
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,261.8447488584475,0.09547830826163425,0.00494381046924773,0.03156361275398467,-0.0010666031907931028,0.5728909132965518
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,274.3135464231355,0.10002489436933111,0.00494381046924773,0.022951032285220663,0.0021411536284574595,0.7517094656825031
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,286.7823439878234,0.10457148047702798,0.00494381046924773,-0.0377044253723966,-0.002987828693683525,-0.8935333037888775
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,299.25114155251146,0.10911806658472485,0.00494381046924773,-0.055006257648017254,0.020349228921901386,-0.6691098926865561
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,311.71993911719943,0.11366465269242172,0.00494381046924773,0.03316492770295554,-0.0015775699228015583,0.8496742513637326
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,324.18873668188735,0.11821123880011859,0.00494381046924773,-0.019245324019948384,-0.0019761543727270237,-1.0657169388124
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,336.6575342465754,0.12275782490781545,0.00494381046924773,-0.020340703181659592,0.007882380347524531,-0.49346469378787333
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,349.12633181126336,0.12730441101551235,0.00494381046924773,0.021183445917301924,0.00024018289110472324,0.6728925748600569
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,361.59512937595133,0.1318509971232092,0.00494381046924773,0.020527196166312933,-0.001727544873546094,0.5421598059998816
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,374.0639269406393,0.1363975832309061,0.00494381046924773,0.01481880335694541,0.002118807234637643,0.6172228107776128
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,386.5327245053272,0.14094416933860293,0.00494381046924773,0.009865437262988053,-0.00735351755611191,0.3420257473038543
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,399.00152207001526,0.14549075544629983,0.00494381046924773,-0.05628235424592276,-0.0017541541071750544,-0.5892628272854917
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,411.47031963470323,0.1500373415539967,0.00494381046924773,-0.058993538478944174,0.007527878519567821,-0.7216225372685728
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,423.9391171993912,0.15458392766169354,0.00494381046924773,-0.06259045606020663,0.011802953501387492,-0.5704995619564014
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,436.4079147640792,0.1591305137693904,0.00494381046924773,0.01019636293858639,0.015809951067694783,-0.03994859192979787
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,448.8767123287671,0.16367709987708726,0.00494381046924773,0.14897237637978833,0.00814973737578839,0.6331357853255003
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,461.34550989345513,0.16822368598478415,0.00494381046924773,0.17118353296746136,0.006039266971129109,0.7930345951100874
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,473.8143074581431,0.17277027209248103,0.00494381046924773,0.07022514658456203,-0.026313305675103038,0.49816055244074153
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,486.2831050228311,0.1773168582001779,0.00494381046924773,-0.05984119053846371,-0.00277078823728516,-0.4253092166817455
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,498.751902587519,0.18186344430787474,0.00494381046924773,-0.09187860830570571,-0.015326089901577689,-0.6131230254049536
smooth,coherent_ab,bg_01_clean,short_14p6m,10.0,511.22070015220703,0.18641003041557164,0.00494381046924773,-0.04824704514521727,0.0180188413853557,-0.5559976223109042
