case,baseline_id,lst_stratum,lst_bin_id,beam,paired_beam,morphology,flux_jy,multiplicity,residual_model,sigma_cal,ell_nu_mhz,doppler_mode,PTE_max_1000,B_rel,PTE_absint_1000,paired_PTE_max_1000,paired_B_rel,paired_PTE_absint_1000,final_class,primary_seed,paired_seed,seed
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,smooth,0.001,1.0,linear,0.001998001998001998,0.010181725538264264,0.4775224775224775,0.002997002997002997,0.00888844187048936,0.3106893106893107,window-integrated candidate,20262213,20261805,10
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,smooth,0.001,5.0,linear,0.001998001998001998,0.010182889674045029,0.47052947052947053,0.002997002997002997,0.008889516570244211,0.3106893106893107,window-integrated candidate,20262213,20261805,10
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,smooth,0.01,0.5,linear,0.001998001998001998,0.010195309115190874,0.46853146853146854,0.002997002997002997,0.008889430306797128,0.34465534465534464,window-integrated candidate,20262213,20261805,10
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,smooth,0.01,1.0,linear,0.000999000999000999,0.010174610024355761,0.48151848151848153,0.002997002997002997,0.008878530165075007,0.3036963036963037,window-integrated candidate,20262213,20261805,10
3,0_1,typical,44,full_polybeam,frozen_polybeam,khz_comb,300.0,single,smooth,0.01,5.0,linear,0.001998001998001998,0.01015261078863101,0.4785214785214785,0.002997002997002997,0.008864004178133251,0.3106893106893107,window-integrated candidate,20262213,20261805,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.0,,linear,0.001998001998001998,0.030348640069162144,0.4995004995004995,0.004995004995004995,0.03487705799495972,0.5424575424575424,window-integrated candidate,20261839,20262247,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.0001,,linear,0.001998001998001998,0.030348471557694722,0.4995004995004995,0.004995004995004995,0.03487670271051661,0.5424575424575424,window-integrated candidate,20261839,20262247,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.001,,linear,0.001998001998001998,0.030354241603091817,0.4985014985014985,0.004995004995004995,0.03488293618874446,0.5424575424575424,window-integrated candidate,20261839,20262247,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,white,0.01,,linear,0.000999000999000999,0.030351134273414036,0.4965034965034965,0.002997002997002997,0.034866185045175774,0.5444555444555444,window-integrated candidate,20261839,20262247,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.0,0.5,linear,0.001998001998001998,0.030348640069162144,0.4995004995004995,0.004995004995004995,0.03487705799495972,0.5424575424575424,window-integrated candidate,20261839,20262247,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.0,1.0,linear,0.001998001998001998,0.030348640069162144,0.4995004995004995,0.004995004995004995,0.03487705799495972,0.5424575424575424,window-integrated candidate,20261839,20262247,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.0,5.0,linear,0.001998001998001998,0.030348640069162144,0.4995004995004995,0.004995004995004995,0.03487705799495972,0.5424575424575424,window-integrated candidate,20261839,20262247,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.0001,0.5,linear,0.001998001998001998,0.030347891863785243,0.4995004995004995,0.004995004995004995,0.03487604648330431,0.5424575424575424,window-integrated candidate,20261839,20262247,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.0001,1.0,linear,0.001998001998001998,0.03034939371921006,0.4995004995004995,0.004995004995004995,0.03487801724926436,0.5424575424575424,window-integrated candidate,20261839,20262247,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.0001,5.0,linear,0.001998001998001998,0.030347935462932792,0.5004995004995005,0.004995004995004995,0.034876087389127376,0.5424575424575424,window-integrated candidate,20261839,20262247,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.001,0.5,linear,0.001998001998001998,0.030361344049256805,0.4985014985014985,0.004995004995004995,0.03489202361974542,0.5424575424575424,window-integrated candidate,20261839,20262247,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.001,1.0,linear,0.001998001998001998,0.03035376529011585,0.4995004995004995,0.004995004995004995,0.03488399014064041,0.5424575424575424,window-integrated candidate,20261839,20262247,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.001,5.0,linear,0.001998001998001998,0.030344386815682602,0.5004995004995005,0.004995004995004995,0.03487255143496338,0.5424575424575424,window-integrated candidate,20261839,20262247,10
4,0_1,typical,44,frozen_polybeam,full_polybeam,khz_comb,1000.0,single,smooth,0.01,0.5,linear,0.001998001998001998,0.030361062397847374,0.5014985014985015,0.004995004995004995,0.0348974817699974,0.5444555444555444,window-integrated candidate,20261839,20262247,10
